group_normalized,gene,group__HBCA non-neuronal,group__Tabula Sapiens,mean_expression__HBCA non-neuronal,mean_expression__Tabula Sapiens,n_cells__HBCA non-neuronal,n_cells__Tabula Sapiens,pct_expressing__HBCA non-neuronal,pct_expressing__Tabula Sapiens,pct_expressing_delta_hbca_minus_tabula,mean_expression_delta_hbca_minus_tabula,abs_pct_expressing_delta,abs_mean_expression_delta
pericyte,ADORA2A,pericyte,pericyte,0.3170863687992096,0.0004584921116475016,3693.0,10888.0,25.209856485242348,0.11939750183688465,25.090458983405462,0.3166278766875621,25.090458983405462,0.3166278766875621
pericyte,ADORA2B,pericyte,pericyte,0.22041700780391693,0.03398091346025467,3693.0,10888.0,17.84457080963986,4.077883908890521,13.766686900749338,0.18643609434366226,13.766686900749338,0.18643609434366226
vascular associated smooth muscle cell,ADORA2A,vascular associated smooth muscle cell,vascular associated smooth muscle cell,0.05865921825170517,0.00037700755638070405,1074.0,5019.0,5.21415270018622,0.059772863120143446,5.1543798370660765,0.058282210695324466,5.1543798370660765,0.058282210695324466
endothelial cell,ADORA2A,endothelial cell,endothelial cell,0.051500484347343445,0.0005248005618341267,5165.0,33703.0,4.859632139399806,0.1780256950419844,4.681606444357821,0.05097568378550932,4.681606444357821,0.05097568378550932
fibroblast,ADORA2B,fibroblast,fibroblast,0.06105286255478859,0.008543637581169605,9156.0,83338.0,4.641764962865881,1.7075043797547338,2.934260583111147,0.052509224973618984,2.934260583111147,0.052509224973618984
fibroblast,ADORA2A,fibroblast,fibroblast,0.0204237662255764,9.629419218981639e-05,9156.0,83338.0,1.9877675840978593,0.027598454486548754,1.9601691296113104,0.020327472033386584,1.9601691296113104,0.020327472033386584
vascular associated smooth muscle cell,ADORA2B,vascular associated smooth muscle cell,vascular associated smooth muscle cell,0.01769087463617325,0.005780784413218498,1074.0,5019.0,1.675977653631285,0.7172743574417215,0.9587032961895634,0.01191009022295475,0.9587032961895634,0.01191009022295475
endothelial cell,ADORA2B,endothelial cell,endothelial cell,0.0027105517219752073,0.003948196303099394,5165.0,33703.0,0.271055179090029,0.6260570275643118,-0.3550018484742828,-0.0012376445811241865,0.3550018484742828,0.0012376445811241865
endothelial cell,ADORA3,endothelial cell,endothelial cell,0.0,0.0021520780865103006,5165.0,33703.0,0.0,0.32341334599293836,-0.32341334599293836,-0.0021520780865103006,0.32341334599293836,0.0021520780865103006
vascular associated smooth muscle cell,ADORA1,vascular associated smooth muscle cell,vascular associated smooth muscle cell,0.0074487896636128426,0.003412701888009906,1074.0,5019.0,0.6517690875232774,0.35863717872086076,0.2931319088024167,0.004036087775602937,0.2931319088024167,0.004036087775602937
endothelial cell,ADORA1,endothelial cell,endothelial cell,0.00600193627178669,0.0019457791931927204,5165.0,33703.0,0.5808325266214909,0.34121591549713676,0.23961661112435412,0.004056157078593969,0.23961661112435412,0.004056157078593969
pericyte,ADORA3,pericyte,pericyte,0.0,0.0009881260339170694,3693.0,10888.0,0.0,0.2204261572373255,-0.2204261572373255,-0.0009881260339170694,0.2204261572373255,0.0009881260339170694
fibroblast,ADORA1,fibroblast,fibroblast,0.005351681727916002,0.004135634750127792,9156.0,83338.0,0.49148099606815204,0.7079603542201637,-0.21647935815201164,0.00121604697778821,0.21647935815201164,0.00121604697778821
pericyte,ADORA1,pericyte,pericyte,0.0037909557577222586,0.0011900311801582575,3693.0,10888.0,0.37909558624424583,0.1928728875826598,0.18622269866158603,0.002600924577564001,0.18622269866158603,0.002600924577564001
fibroblast,ADORA3,fibroblast,fibroblast,0.0,0.0005885182181373239,9156.0,83338.0,0.0,0.1007943555160911,-0.1007943555160911,-0.0005885182181373239,0.1007943555160911,0.0005885182181373239
vascular associated smooth muscle cell,ADORA3,vascular associated smooth muscle cell,vascular associated smooth muscle cell,0.0,7.854933937778696e-05,1074.0,5019.0,0.0,0.019924287706714484,-0.019924287706714484,-7.854933937778696e-05,0.019924287706714484,7.854933937778696e-05
